ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?,DEBUG_LOG
2022.3.5-1,2022.3.5,67,กระทรวงคมนาคม,กรมการขนส่งทางราง,FALSE,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,เงินเดือน,,,,,2022,"21,905,000",FALSE,
2022.3.5-2,2022.3.5,67,กระทรวงคมนาคม,กรมการขนส่งทางราง,FALSE,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,ค่าตอบแทนพนักงานราชการ,,,,,,2022,"1,208,400",FALSE,
2022.3.5-3,2022.3.5,67,กระทรวงคมนาคม,กรมการขนส่งทางราง,FALSE,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,เงินสมทบกองทุนประกันสังคม,2022,"45,000",FALSE,
2022.3.5-4,2022.3.5,67,กระทรวงคมนาคม,กรมการขนส่งทางราง,FALSE,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,เงินสมทบกองทุนเงินทดแทน,2022,"2,400",FALSE,
…,…,…,…,…,…,…,,,,,,,,,...,…,…,…,
2022.3.5-5,2022.3.5,71,กระทรวงคมนาคม,กรมการขนส่งทางราง,FALSE,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,นโยบายและแผนการพัฒนาด้านการขนส่งทางราง และมาตรฐานเกี่ยวกับการขนส่งทางราง,,งบรายจ่ายอื่น,,,,,,ค่าจ้างศึกษาการกำกับการใช้ประโยชน์รางและจัดทำกฎระเบียบเพื่อรองรับการขนส่งทางรางในเส้นทางหลักของประเทศและระหว่างประเทศ,2020,"3,030,000",TRUE,
2022.3.5-6,2022.3.5,71,กระทรวงคมนาคม,กรมการขนส่งทางราง,FALSE,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,นโยบายและแผนการพัฒนาด้านการขนส่งทางราง และมาตรฐานเกี่ยวกับการขนส่งทางราง,,งบรายจ่ายอื่น,,,,,,ค่าจ้างศึกษาการกำกับการใช้ประโยชน์รางและจัดทำกฎระเบียบเพื่อรองรับการขนส่งทางรางในเส้นทางหลักของประเทศและระหว่างประเทศ,2021,"12,120,000",TRUE,
2022.3.5-7,2022.3.5,71,กระทรวงคมนาคม,กรมการขนส่งทางราง,FALSE,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,นโยบายและแผนการพัฒนาด้านการขนส่งทางราง และมาตรฐานเกี่ยวกับการขนส่งทางราง,,งบรายจ่ายอื่น,,,,,,ค่าจ้างศึกษาการกำกับการใช้ประโยชน์รางและจัดทำกฎระเบียบเพื่อรองรับการขนส่งทางรางในเส้นทางหลักของประเทศและระหว่างประเทศ,2022,"5,050,000",TRUE,
…,…,…,…,…,…,…,,,,,,,,,...,…,…,…,
2022.3.5-8,2022.3.5,73,กระทรวงคมนาคม,กรมการขนส่งทางราง,TRUE,แผนงานบูรณาการพัฒนาด้านคมนาคมและระบบโลจิสติกส์,,โครงการการคมนาคมขนส่งทางรางมีความสะดวก รวดเร็ว และมีประสิทธิภาพ,งบรายจ่ายอื่น,,,,,,ค่าจ้างศึกษาการพัฒนาระบบกำกับดูแลความปลอดภัยและความมั่นคงของการขนส่งทางราง,2020,"3,750,000",TRUE,
2022.3.5-9,2022.3.5,73,กระทรวงคมนาคม,กรมการขนส่งทางราง,TRUE,แผนงานบูรณาการพัฒนาด้านคมนาคมและระบบโลจิสติกส์,,โครงการการคมนาคมขนส่งทางรางมีความสะดวก รวดเร็ว และมีประสิทธิภาพ,งบรายจ่ายอื่น,,,,,,ค่าจ้างศึกษาการพัฒนาระบบกำกับดูแลความปลอดภัยและความมั่นคงของการขนส่งทางราง,2021,"10,000,000",TRUE,
2022.3.5-10,2022.3.5,73,กระทรวงคมนาคม,กรมการขนส่งทางราง,TRUE,แผนงานบูรณาการพัฒนาด้านคมนาคมและระบบโลจิสติกส์,,โครงการการคมนาคมขนส่งทางรางมีความสะดวก รวดเร็ว และมีประสิทธิภาพ,งบรายจ่ายอื่น,,,,,,ค่าจ้างศึกษาการพัฒนาระบบกำกับดูแลความปลอดภัยและความมั่นคงของการขนส่งทางราง,2022,"11,050,000",TRUE,